VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterUndiscountedTradeCost,EL51,BULGARIA,GRLignite,2025,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRLignite,2030,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRLignite,2035,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRLignite,2040,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRLignite,2045,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRLignite,2050,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GROil,2023,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GROil,2025,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GROil,2030,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GROil,2035,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GROil,2040,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GROil,2045,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GROil,2050,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Demand,2023,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Demand,2025,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Demand,2030,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Demand,2035,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Demand,2040,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Demand,2045,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Demand,2050,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Storage,2023,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Storage,2025,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Storage,2030,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Storage,2035,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Storage,2040,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Storage,2045,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Storage,2050,0.0
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2023,-4.057391088768739
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2025,-109.35234771028902
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2030,-43.515905685557016
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2035,3.190604395888215
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2040,51.95649235128121
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2045,59.603201449558526
InterUndiscountedTradeCost,EL51,TURKEY,Elec_Transmission,2050,69.31208525052244
InterUndiscountedTradeCost,EL51,TURKEY,GRBiomass,2023,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRBiomass,2025,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRBiomass,2030,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRBiomass,2035,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRBiomass,2040,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRBiomass,2045,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRBiomass,2050,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRGas,2023,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRGas,2025,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRGas,2030,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRGas,2035,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRGas,2040,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRGas,2045,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRGas,2050,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRLignite,2023,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRLignite,2025,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRLignite,2030,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRLignite,2035,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRLignite,2040,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRLignite,2045,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GRLignite,2050,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GROil,2023,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GROil,2025,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GROil,2030,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GROil,2035,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GROil,2040,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GROil,2045,0.0
InterUndiscountedTradeCost,EL51,TURKEY,GROil,2050,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2023,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2025,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2030,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2035,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2040,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2045,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2050,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2023,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2025,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2030,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2035,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2040,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2045,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2050,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2023,-97.37153143466661
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2025,-246.05252861907115
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2030,-266.6890820222965
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2035,-336.9128308134328
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2040,-426.91245882002147
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2045,-493.8560618609464
InterUndiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2050,-608.3587957676634
InterUndiscountedTradeCost,EL52,BULGARIA,GRBiomass,2023,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,GRBiomass,2025,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,GRBiomass,2030,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,GRBiomass,2035,0.0
InterUndiscountedTradeCost,EL52,BULGARIA,GRBiomass,2040,0.0
