VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
DiscountedFOM,CHIOS,RooftopPV,2040,0.14543587583970163
DiscountedFOM,CHIOS,RooftopPV,2045,0.13718702266939276
DiscountedFOM,CHIOS,RooftopPV,2050,0.11317582038749481
DiscountedFOM,CHIOS,RooftopPV_Ex,2023,0.12819212962962964
DiscountedFOM,CHIOS,RooftopPV_Ex,2025,0.09668202311478252
DiscountedFOM,CHIOS,RooftopPV_Ex,2030,0.06073860958813831
DiscountedFOM,CHIOS,RooftopPV_Ex,2035,0.04133767709688021
DiscountedFOM,CHIOS,RooftopPV_Ex,2040,0.0281337284365437
DiscountedFOM,CHIOS,RooftopPV_Ex,2045,0.019147342843822236
DiscountedFOM,CHIOS,RooftopPV_Ex,2050,0.015796072738264225
DiscountedFOM,CHIOS,Wind,2023,0.0
DiscountedFOM,CHIOS,Wind,2025,0.0
DiscountedFOM,CHIOS,Wind,2030,0.6296002292891484
DiscountedFOM,CHIOS,Wind,2035,0.4284953402373035
DiscountedFOM,CHIOS,Wind,2040,0.2916267340092679
DiscountedFOM,CHIOS,Wind,2045,0.19847625771432062
DiscountedFOM,CHIOS,Wind,2050,0.16373792170524112
DiscountedFOM,CHIOS,Wind_Ex,2023,0.4398333333333334
DiscountedFOM,CHIOS,Wind_Ex,2025,0.32858944583683136
DiscountedFOM,CHIOS,Wind_Ex,2030,0.21106883446034938
DiscountedFOM,CHIOS,Wind_Ex,2035,0.14364990215121284
DiscountedFOM,CHIOS,Wind_Ex,2040,0.09776570965965828
DiscountedFOM,CHIOS,Wind_Ex,2045,0.06653769924044362
DiscountedFOM,CHIOS,Wind_Ex,2050,0.05489191610615072
DiscountedFOM,Crete,Atherinolakos,2023,6.644444444444446
DiscountedFOM,Crete,Atherinolakos,2025,5.07546141315834
DiscountedFOM,Crete,Atherinolakos,2030,3.4542737549887503
DiscountedFOM,Crete,Atherinolakos,2035,2.3509206756000354
DiscountedFOM,Crete,Atherinolakos,2040,1.5999971093726233
DiscountedFOM,Crete,Atherinolakos,2045,1.0889311479415786
DiscountedFOM,Crete,Atherinolakos,2050,0.8983406084148366
DiscountedFOM,Crete,Atherinolakos_Diesel,2023,0.40406925925925935
DiscountedFOM,Crete,Atherinolakos_Diesel,2025,0.3086545385037558
DiscountedFOM,Crete,Atherinolakos_Diesel,2030,0.21006509259386355
DiscountedFOM,Crete,Atherinolakos_Diesel,2035,0.14296677230272328
DiscountedFOM,Crete,Atherinolakos_Diesel,2040,0.09730078296338408
DiscountedFOM,Crete,Atherinolakos_Diesel,2045,0.06622127794310698
DiscountedFOM,Crete,Atherinolakos_Diesel,2050,0.05463087655254612
DiscountedFOM,Crete,Batteries_New,2023,0.0
DiscountedFOM,Crete,Batteries_New,2025,0.0
DiscountedFOM,Crete,Batteries_New,2030,0.0
DiscountedFOM,Crete,Batteries_New,2035,0.0
DiscountedFOM,Crete,Batteries_New,2040,0.0
DiscountedFOM,Crete,Batteries_New,2045,0.0
DiscountedFOM,Crete,Batteries_New,2050,0.0
DiscountedFOM,Crete,Elec_Network,2023,0.0
DiscountedFOM,Crete,Elec_Network,2025,0.0
DiscountedFOM,Crete,Elec_Network,2030,0.0
DiscountedFOM,Crete,Elec_Network,2035,0.0
DiscountedFOM,Crete,Elec_Network,2040,0.0
DiscountedFOM,Crete,Elec_Network,2045,0.0
DiscountedFOM,Crete,Elec_Network,2050,0.0
DiscountedFOM,Crete,Linoperamata,2023,7.559001666666667
DiscountedFOM,Crete,Linoperamata,2025,5.774060059038399
DiscountedFOM,Crete,Linoperamata,2030,3.9297282548452506
DiscountedFOM,Crete,Linoperamata,2035,2.6745070191564566
DiscountedFOM,Crete,Linoperamata,2040,1.8202245375867152
DiscountedFOM,Crete,Linoperamata,2045,1.238814235110046
DiscountedFOM,Crete,Linoperamata,2050,1.0219903579628573
DiscountedFOM,Crete,OffshoreWind,2023,0.0
DiscountedFOM,Crete,OffshoreWind,2025,0.0
DiscountedFOM,Crete,OffshoreWind,2030,1.1328494794377039e-06
DiscountedFOM,Crete,OffshoreWind,2035,4.206768707049233e-06
DiscountedFOM,Crete,OffshoreWind,2040,5.0444677551647725
DiscountedFOM,Crete,OffshoreWind,2045,5.0832098857635515
DiscountedFOM,Crete,OffshoreWind,2050,4.359479419117701
DiscountedFOM,Crete,OilImports,2023,0.0
DiscountedFOM,Crete,OilImports,2025,0.0
DiscountedFOM,Crete,OilImports,2030,0.0
DiscountedFOM,Crete,OilImports,2035,0.0
DiscountedFOM,Crete,OilImports,2040,0.0
DiscountedFOM,Crete,OilImports,2045,0.0
DiscountedFOM,Crete,OilImports,2050,0.0
DiscountedFOM,Crete,PV,2023,0.0
DiscountedFOM,Crete,PV,2025,0.0
DiscountedFOM,Crete,PV,2030,5.8680463999408765
DiscountedFOM,Crete,PV,2035,5.069163115902625
DiscountedFOM,Crete,PV,2040,5.300199853008157
DiscountedFOM,Crete,PV,2045,4.646338698139118
DiscountedFOM,Crete,PV,2050,4.82348765296103
DiscountedFOM,Crete,PV_Ex,2023,1.0148703703703705
DiscountedFOM,Crete,PV_Ex,2025,0.7752243919323204
DiscountedFOM,Crete,PV_Ex,2030,0.5276046950798453
DiscountedFOM,Crete,PV_Ex,2035,0.3462546440707652
DiscountedFOM,Crete,PV_Ex,2040,0.2269271262550411
DiscountedFOM,Crete,PV_Ex,2045,0.14850268180801662
DiscountedFOM,Crete,PV_Ex,2050,0.11761051209497919
DiscountedFOM,Crete,RoR,2023,0.0
DiscountedFOM,Crete,RoR,2025,0.0
DiscountedFOM,Crete,RoR,2030,4.7382585071063606e-07
DiscountedFOM,Crete,RoR,2035,5.441491124814466e-07
DiscountedFOM,Crete,RoR,2040,5.608318713690705e-07
DiscountedFOM,Crete,RoR,2045,5.358519057504741e-07
DiscountedFOM,Crete,RoR,2050,2.642307240695318e-06
DiscountedFOM,Crete,RoR_Ex,2023,0.022222222222222227
DiscountedFOM,Crete,RoR_Ex,2025,0.016974787334977728
DiscountedFOM,Crete,RoR_Ex,2030,0.011552755033407192
DiscountedFOM,Crete,RoR_Ex,2035,0.007862610955184065
DiscountedFOM,Crete,RoR_Ex,2040,0.005351160900911784
DiscountedFOM,Crete,RoR_Ex,2045,0.003641910193784544
DiscountedFOM,Crete,RoR_Ex,2050,0.0030044836401834003
DiscountedFOM,Crete,RooftopPV,2023,0.0
DiscountedFOM,Crete,RooftopPV,2025,0.0
DiscountedFOM,Crete,RooftopPV,2030,3.29109558813478
DiscountedFOM,Crete,RooftopPV,2035,3.7329304662330203
DiscountedFOM,Crete,RooftopPV,2040,2.633582251922264
DiscountedFOM,Crete,RooftopPV,2045,1.7923718291442552
DiscountedFOM,Crete,RooftopPV,2050,1.4786613486174573
DiscountedFOM,Crete,RooftopPV_Ex,2023,1.8660092592592592
DiscountedFOM,Crete,RooftopPV_Ex,2025,1.407337180974666
DiscountedFOM,Crete,RooftopPV_Ex,2030,0.8841323427066524
DiscountedFOM,Crete,RooftopPV_Ex,2035,0.6017256164002365
DiscountedFOM,Crete,RooftopPV_Ex,2040,0.4095243437467788
DiscountedFOM,Crete,RooftopPV_Ex,2045,0.27871538713033117
DiscountedFOM,Crete,RooftopPV_Ex,2050,0.22993313298323562
DiscountedFOM,Crete,Wind,2023,0.0
DiscountedFOM,Crete,Wind,2025,0.0
DiscountedFOM,Crete,Wind,2030,23.172863283457602
DiscountedFOM,Crete,Wind,2035,22.722296906771373
DiscountedFOM,Crete,Wind,2040,15.46441347404987
DiscountedFOM,Crete,Wind,2045,10.524819963390128
DiscountedFOM,Crete,Wind,2050,8.682709822193297
DiscountedFOM,Crete,Wind_Ex,2023,8.52240277777778
