VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
UndiscountedFOM,CHIOS,PV_Ex,2030,0.07238
UndiscountedFOM,CHIOS,PV_Ex,2035,0.069795
UndiscountedFOM,CHIOS,PV_Ex,2040,0.06721
UndiscountedFOM,CHIOS,PV_Ex,2045,0.064625
UndiscountedFOM,CHIOS,PV_Ex,2050,0.06204
UndiscountedFOM,CHIOS,RooftopPV,2023,0.0
UndiscountedFOM,CHIOS,RooftopPV,2025,0.0
UndiscountedFOM,CHIOS,RooftopPV,2030,6.580161127718809e-07
UndiscountedFOM,CHIOS,RooftopPV,2035,4.2756878253462634e-06
UndiscountedFOM,CHIOS,RooftopPV,2040,0.5757131410739971
UndiscountedFOM,CHIOS,RooftopPV,2045,0.9040553718789622
UndiscountedFOM,CHIOS,RooftopPV,2050,0.9040554094686652
UndiscountedFOM,CHIOS,RooftopPV_Ex,2023,0.1384475
UndiscountedFOM,CHIOS,RooftopPV_Ex,2025,0.136695
UndiscountedFOM,CHIOS,RooftopPV_Ex,2030,0.12618
UndiscountedFOM,CHIOS,RooftopPV_Ex,2035,0.12618
UndiscountedFOM,CHIOS,RooftopPV_Ex,2040,0.12618
UndiscountedFOM,CHIOS,RooftopPV_Ex,2045,0.12618
UndiscountedFOM,CHIOS,RooftopPV_Ex,2050,0.12618
UndiscountedFOM,CHIOS,Wind,2023,0.0
UndiscountedFOM,CHIOS,Wind,2025,0.0
UndiscountedFOM,CHIOS,Wind,2030,1.2208886898396902
UndiscountedFOM,CHIOS,Wind,2035,1.2208886965509451
UndiscountedFOM,CHIOS,Wind,2040,1.2208887067265604
UndiscountedFOM,CHIOS,Wind,2045,1.2208887174520406
UndiscountedFOM,CHIOS,Wind,2050,1.220888878381354
UndiscountedFOM,CHIOS,Wind_Ex,2023,0.47502
UndiscountedFOM,CHIOS,Wind_Ex,2025,0.46458
UndiscountedFOM,CHIOS,Wind_Ex,2030,0.43848
UndiscountedFOM,CHIOS,Wind_Ex,2035,0.43848
UndiscountedFOM,CHIOS,Wind_Ex,2040,0.43848
UndiscountedFOM,CHIOS,Wind_Ex,2045,0.43848
UndiscountedFOM,CHIOS,Wind_Ex,2050,0.43848
UndiscountedFOM,Crete,Atherinolakos,2023,7.176
UndiscountedFOM,Crete,Atherinolakos,2025,7.176
UndiscountedFOM,Crete,Atherinolakos,2030,7.176
UndiscountedFOM,Crete,Atherinolakos,2035,7.176
UndiscountedFOM,Crete,Atherinolakos,2040,7.176
UndiscountedFOM,Crete,Atherinolakos,2045,7.176
UndiscountedFOM,Crete,Atherinolakos,2050,7.176
UndiscountedFOM,Crete,Atherinolakos_Diesel,2023,0.4363948
UndiscountedFOM,Crete,Atherinolakos_Diesel,2025,0.4363948
UndiscountedFOM,Crete,Atherinolakos_Diesel,2030,0.4363948
UndiscountedFOM,Crete,Atherinolakos_Diesel,2035,0.4363948
UndiscountedFOM,Crete,Atherinolakos_Diesel,2040,0.4363948
UndiscountedFOM,Crete,Atherinolakos_Diesel,2045,0.4363948
UndiscountedFOM,Crete,Atherinolakos_Diesel,2050,0.4363948
UndiscountedFOM,Crete,Batteries_New,2023,0.0
UndiscountedFOM,Crete,Batteries_New,2025,0.0
UndiscountedFOM,Crete,Batteries_New,2030,0.0
