VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2025,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2030,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2035,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2040,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2045,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Demand,2050,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2023,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2025,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2030,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2035,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2040,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2045,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Storage,2050,0.0
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2023,-90.15882540246909
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2025,-174.0287227725939
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2030,-128.37473477865956
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2035,-110.37560477065715
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2040,-95.18655240624211
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2045,-74.9408094147363
InterDiscountedTradeCost,EL52,BULGARIA,Elec_Transmission,2050,-76.1585020519008
InterDiscountedTradeCost,EL52,BULGARIA,GRBiomass,2023,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRBiomass,2025,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRBiomass,2030,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRBiomass,2035,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRBiomass,2040,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRBiomass,2045,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRBiomass,2050,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRGas,2023,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRGas,2025,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRGas,2030,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRGas,2035,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRGas,2040,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRGas,2045,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRGas,2050,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRLignite,2023,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRLignite,2025,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRLignite,2030,0.0
