REGION,FUEL,TIMESLICE,YEAR,VALUE
Greece,Elec_Demand,m2_d4_t12,2023,0.001416262
Greece,Elec_Demand,m2_d4_t13,2023,0.001350145
Greece,Elec_Demand,m2_d4_t14,2023,0.001334393
Greece,Elec_Demand,m2_d4_t15,2023,0.001313003
Greece,Elec_Demand,m2_d4_t16,2023,0.001329921
Greece,Elec_Demand,m2_d4_t17,2023,0.001439403
Greece,Elec_Demand,m2_d4_t18,2023,0.001497741
Greece,Elec_Demand,m2_d4_t19,2023,0.001486268
Greece,Elec_Demand,m2_d4_t20,2023,0.00139876
Greece,Elec_Demand,m2_d4_t21,2023,0.001286556
Greece,Elec_Demand,m2_d4_t22,2023,0.001173185
Greece,Elec_Demand,m2_d4_t23,2023,0.001047758
Greece,Elec_Demand,m2_d4_t24,2023,0.000949166
Greece,Elec_Demand,m2_d5_t1,2023,0.001494154
Greece,Elec_Demand,m2_d5_t2,2023,0.001472375
Greece,Elec_Demand,m2_d5_t3,2023,0.001461658
Greece,Elec_Demand,m2_d5_t4,2023,0.001508674
Greece,Elec_Demand,m2_d5_t5,2023,0.00164834
Greece,Elec_Demand,m2_d5_t6,2023,0.00188204
Greece,Elec_Demand,m2_d5_t7,2023,0.001946687
Greece,Elec_Demand,m2_d5_t8,2023,0.001945304
Greece,Elec_Demand,m2_d5_t9,2023,0.00193597
Greece,Elec_Demand,m2_d5_t10,2023,0.001943576
Greece,Elec_Demand,m2_d5_t11,2023,0.001922833
Greece,Elec_Demand,m2_d5_t12,2023,0.001890682
Greece,Elec_Demand,m2_d5_t13,2023,0.001821541
Greece,Elec_Demand,m2_d5_t14,2023,0.001763116
Greece,Elec_Demand,m2_d5_t15,2023,0.001714371
Greece,Elec_Demand,m2_d5_t16,2023,0.001816701
Greece,Elec_Demand,m2_d5_t17,2023,0.002084625
Greece,Elec_Demand,m2_d5_t18,2023,0.002230169
Greece,Elec_Demand,m2_d5_t19,2023,0.002233971
Greece,Elec_Demand,m2_d5_t20,2023,0.002119196
Greece,Elec_Demand,m2_d5_t21,2023,0.001938736
Greece,Elec_Demand,m2_d5_t22,2023,0.001802181
Greece,Elec_Demand,m2_d5_t23,2023,0.00165318
Greece,Elec_Demand,m2_d5_t24,2023,0.001523885
Greece,Elec_Demand,m3_d1_t1,2023,8.79E-05
Greece,Elec_Demand,m3_d1_t2,2023,8.62E-05
Greece,Elec_Demand,m3_d1_t3,2023,8.56E-05
Greece,Elec_Demand,m3_d1_t4,2023,8.78E-05
Greece,Elec_Demand,m3_d1_t5,2023,9.63E-05
Greece,Elec_Demand,m3_d1_t6,2023,0.000109361
Greece,Elec_Demand,m3_d1_t7,2023,0.000119426
Greece,Elec_Demand,m3_d1_t8,2023,0.000127534
Greece,Elec_Demand,m3_d1_t9,2023,0.000131362
Greece,Elec_Demand,m3_d1_t10,2023,0.000133793
Greece,Elec_Demand,m3_d1_t11,2023,0.000134266
Greece,Elec_Demand,m3_d1_t12,2023,0.000132631
Greece,Elec_Demand,m3_d1_t13,2023,0.000129448
Greece,Elec_Demand,m3_d1_t14,2023,0.000127298
Greece,Elec_Demand,m3_d1_t15,2023,0.000128566
Greece,Elec_Demand,m3_d1_t16,2023,0.000130868
Greece,Elec_Demand,m3_d1_t17,2023,0.000140029
Greece,Elec_Demand,m3_d1_t18,2023,0.000148159
