REGION,INTERCONNECTION,TIMESLICE,YEAR,VALUE
Greece,ALBANIA,m2_d4_t7,2023,23.76946491
Greece,ALBANIA,m2_d4_t8,2023,20.86817647
Greece,ALBANIA,m2_d4_t9,2023,28.45021026
Greece,ALBANIA,m2_d4_t10,2023,24.69963557
Greece,ALBANIA,m2_d4_t11,2023,22.00759157
Greece,ALBANIA,m2_d4_t12,2023,21.14248011
Greece,ALBANIA,m2_d4_t13,2023,20.38111169
Greece,ALBANIA,m2_d4_t14,2023,19.05003572
Greece,ALBANIA,m2_d4_t15,2023,19.7076611
Greece,ALBANIA,m2_d4_t16,2023,22.20804423
Greece,ALBANIA,m2_d4_t17,2023,24.42357358
Greece,ALBANIA,m2_d4_t18,2023,29.01464274
Greece,ALBANIA,m2_d4_t19,2023,32.21309345
Greece,ALBANIA,m2_d4_t20,2023,35.87047523
Greece,ALBANIA,m2_d4_t21,2023,32.54542285
Greece,ALBANIA,m2_d4_t22,2023,28.20404033
Greece,ALBANIA,m2_d4_t23,2023,23.70440572
Greece,ALBANIA,m2_d4_t24,2023,22.36102125
Greece,ALBANIA,m2_d5_t1,2023,26.72702076
Greece,ALBANIA,m2_d5_t2,2023,21.57855255
Greece,ALBANIA,m2_d5_t3,2023,19.57578435
Greece,ALBANIA,m2_d5_t4,2023,25.1444998
Greece,ALBANIA,m2_d5_t5,2023,25.49617112
Greece,ALBANIA,m2_d5_t6,2023,34.04002598
Greece,ALBANIA,m2_d5_t7,2023,42.76674993
Greece,ALBANIA,m2_d5_t8,2023,44.17167688
Greece,ALBANIA,m2_d5_t9,2023,35.45901978
Greece,ALBANIA,m2_d5_t10,2023,22.48762293
Greece,ALBANIA,m2_d5_t11,2023,20.68003232
Greece,ALBANIA,m2_d5_t12,2023,19.28389715
Greece,ALBANIA,m2_d5_t13,2023,18.48560324
Greece,ALBANIA,m2_d5_t14,2023,18.47153639
Greece,ALBANIA,m2_d5_t15,2023,20.0646075
Greece,ALBANIA,m2_d5_t16,2023,22.43663059
Greece,ALBANIA,m2_d5_t17,2023,26.35600751
Greece,ALBANIA,m2_d5_t18,2023,87.91783146
Greece,ALBANIA,m2_d5_t19,2023,87.91783146
Greece,ALBANIA,m2_d5_t20,2023,48.67658656
Greece,ALBANIA,m2_d5_t21,2023,40.38241834
Greece,ALBANIA,m2_d5_t22,2023,36.86746344
Greece,ALBANIA,m2_d5_t23,2023,35.78431576
Greece,ALBANIA,m2_d5_t24,2023,27.46553055
Greece,ALBANIA,m3_d1_t1,2023,23.64989666
Greece,ALBANIA,m3_d1_t2,2023,24.11937788
Greece,ALBANIA,m3_d1_t3,2023,18.19019933
Greece,ALBANIA,m3_d1_t4,2023,26.04302003
Greece,ALBANIA,m3_d1_t5,2023,25.72475748
Greece,ALBANIA,m3_d1_t6,2023,17.30222923
Greece,ALBANIA,m3_d1_t7,2023,18.83551621
Greece,ALBANIA,m3_d1_t8,2023,19.27862208
Greece,ALBANIA,m3_d1_t9,2023,18.15151548
Greece,ALBANIA,m3_d1_t10,2023,17.73654332
Greece,ALBANIA,m3_d1_t11,2023,18.81441593
Greece,ALBANIA,m3_d1_t12,2023,13.46022
Greece,ALBANIA,m3_d1_t13,2023,13.48132028
Greece,ALBANIA,m3_d1_t14,2023,15.29770267
Greece,ALBANIA,m3_d1_t15,2023,15.82520966
Greece,ALBANIA,m3_d1_t16,2023,27.01714961
Greece,ALBANIA,m3_d1_t17,2023,22.26782835
Greece,ALBANIA,m3_d1_t18,2023,29.68985168
Greece,ALBANIA,m3_d1_t19,2023,31.78405443
Greece,ALBANIA,m3_d1_t20,2023,37.85390151
Greece,ALBANIA,m3_d1_t21,2023,34.07695147
Greece,ALBANIA,m3_d1_t22,2023,30.02921451
Greece,ALBANIA,m3_d1_t23,2023,22.98172114
Greece,ALBANIA,m3_d1_t24,2023,21.82120577
Greece,ALBANIA,m3_d2_t1,2023,19.36829827
Greece,ALBANIA,m3_d2_t2,2023,17.72423482
Greece,ALBANIA,m3_d2_t3,2023,15.649374
Greece,ALBANIA,m3_d2_t4,2023,15.70739977
Greece,ALBANIA,m3_d2_t5,2023,16.15929742
Greece,ALBANIA,m3_d2_t6,2023,18.42757747
Greece,ALBANIA,m3_d2_t7,2023,21.04752885
Greece,ALBANIA,m3_d2_t8,2023,21.45195088
Greece,ALBANIA,m3_d2_t9,2023,21.02994528
Greece,ALBANIA,m3_d2_t10,2023,19.4685246
Greece,ALBANIA,m3_d2_t11,2023,14.30247282
Greece,ALBANIA,m3_d2_t12,2023,10.72597544
Greece,ALBANIA,m3_d2_t13,2023,9.846797123
Greece,ALBANIA,m3_d2_t14,2023,9.67096146
Greece,ALBANIA,m3_d2_t15,2023,10.37430411
Greece,ALBANIA,m3_d2_t16,2023,24.39895659
Greece,ALBANIA,m3_d2_t17,2023,19.75513673
Greece,ALBANIA,m3_d2_t18,2023,26.37534944
Greece,ALBANIA,m3_d2_t19,2023,29.82172843
Greece,ALBANIA,m3_d2_t20,2023,28.40273463
Greece,ALBANIA,m3_d2_t21,2023,24.9985562
Greece,ALBANIA,m3_d2_t22,2023,20.82773427
Greece,ALBANIA,m3_d2_t23,2023,19.9995483
Greece,ALBANIA,m3_d2_t24,2023,18.82320771
Greece,ALBANIA,m3_d3_t1,2023,20.40572868
Greece,ALBANIA,m3_d3_t2,2023,13.45142821
Greece,ALBANIA,m3_d3_t3,2023,13.27207584
Greece,ALBANIA,m3_d3_t4,2023,14.92141435
Greece,ALBANIA,m3_d3_t5,2023,13.49890384
Greece,ALBANIA,m3_d3_t6,2023,15.37331201
Greece,ALBANIA,m3_d3_t7,2023,18.41526898
Greece,ALBANIA,m3_d3_t8,2023,15.04801603
Greece,ALBANIA,m3_d3_t9,2023,3.516713258
Greece,ALBANIA,m3_d3_t10,2023,1.406685303
Greece,ALBANIA,m3_d3_t11,2023,1.406685303
Greece,ALBANIA,m3_d3_t12,2023,6.505919528
Greece,ALBANIA,m3_d3_t13,2023,6.330083865
Greece,ALBANIA,m3_d3_t14,2023,6.681755191
Greece,ALBANIA,m3_d3_t15,2023,7.736769168
Greece,ALBANIA,m3_d3_t16,2023,17.23013661
Greece,ALBANIA,m3_d3_t17,2023,19.98196473
Greece,ALBANIA,m3_d3_t18,2023,23.44592729
Greece,ALBANIA,m3_d3_t19,2023,31.13697919
Greece,ALBANIA,m3_d3_t20,2023,33.57054476
Greece,ALBANIA,m3_d3_t21,2023,30.60595549
Greece,ALBANIA,m3_d3_t22,2023,25.34143574
Greece,ALBANIA,m3_d3_t23,2023,23.6604468
Greece,ALBANIA,m3_d3_t24,2023,16.91539077
Greece,ALBANIA,m3_d4_t1,2023,26.6320695
Greece,ALBANIA,m3_d4_t2,2023,26.41051657
Greece,ALBANIA,m3_d4_t3,2023,23.22613271
Greece,ALBANIA,m3_d4_t4,2023,24.62754295
Greece,ALBANIA,m3_d4_t5,2023,24.70491064
Greece,ALBANIA,m3_d4_t6,2023,17.63631699
Greece,ALBANIA,m3_d4_t7,2023,18.12865685
Greece,ALBANIA,m3_d4_t8,2023,15.91312749
Greece,ALBANIA,m3_d4_t9,2023,12.37883067
Greece,ALBANIA,m3_d4_t10,2023,9.679753243
Greece,ALBANIA,m3_d4_t11,2023,6.725714106
Greece,ALBANIA,m3_d4_t12,2023,4.847789227
Greece,ALBANIA,m3_d4_t13,2023,4.438092132
Greece,ALBANIA,m3_d4_t14,2023,3.467479273
Greece,ALBANIA,m3_d4_t15,2023,2.273555121
Greece,ALBANIA,m3_d4_t16,2023,5.832468939
Greece,ALBANIA,m3_d4_t17,2023,17.56774108
Greece,ALBANIA,m3_d4_t18,2023,30.77124101
Greece,ALBANIA,m3_d4_t19,2023,36.57381789
Greece,ALBANIA,m3_d4_t20,2023,35.16713258
Greece,ALBANIA,m3_d4_t21,2023,31.44117489
Greece,ALBANIA,m3_d4_t22,2023,30.2243921
Greece,ALBANIA,m3_d4_t23,2023,27.84006051
Greece,ALBANIA,m3_d4_t24,2023,25.64563144
Greece,ALBANIA,m3_d5_t1,2023,12.64785923
Greece,ALBANIA,m3_d5_t2,2023,23.73253942
Greece,ALBANIA,m3_d5_t3,2023,3.516713258
Greece,ALBANIA,m3_d5_t4,2023,3.516713258
Greece,ALBANIA,m3_d5_t5,2023,10.1844016
Greece,ALBANIA,m3_d5_t6,2023,23.76946491
Greece,ALBANIA,m3_d5_t7,2023,15.17989278
