REGION,TECHNOLOGY,VALUE
Crete,PV_Ex,31.536
Crete,PV,31.536
Crete,RooftopPV_Ex,31.536
Crete,RooftopPV,31.536
Crete,Batteries_New,31.536
Crete,OffshoreWind,31.536
THIRA,Elec_Network,31.536
THIRA,Wind_Ex,31.536
THIRA,Wind,31.536
THIRA,PV_Ex,31.536
THIRA,PV,31.536
THIRA,RooftopPV_Ex,31.536
THIRA,RooftopPV,31.536
THIRA,Batteries_New,31.536
THIRA,OffshoreWind,31.536
SAMOS,Elec_Network,31.536
SAMOS,Wind_Ex,31.536
SAMOS,Wind,31.536
SAMOS,PV_Ex,31.536
SAMOS,PV,31.536
SAMOS,RooftopPV_Ex,31.536
SAMOS,RooftopPV,31.536
SAMOS,Batteries_New,31.536
SAMOS,OffshoreWind,31.536
CHIOS,Elec_Network,31.536
CHIOS,Wind_Ex,31.536
CHIOS,Wind,31.536
CHIOS,PV_Ex,31.536
CHIOS,PV,31.536
CHIOS,RooftopPV_Ex,31.536
CHIOS,RooftopPV,31.536
CHIOS,Batteries_New,31.536
CHIOS,OffshoreWind,31.536
LESVOS,Elec_Network,31.536
LESVOS,Wind_Ex,31.536
LESVOS,Wind,31.536
LESVOS,PV_Ex,31.536
LESVOS,PV,31.536
LESVOS,RooftopPV_Ex,31.536
LESVOS,RooftopPV,31.536
LESVOS,Batteries_New,31.536
LESVOS,OffshoreWind,31.536
LEMNOS,Elec_Network,31.536
LEMNOS,Wind_Ex,31.536
LEMNOS,Wind,31.536
LEMNOS,PV_Ex,31.536
LEMNOS,PV,31.536
LEMNOS,RooftopPV_Ex,31.536
LEMNOS,RooftopPV,31.536
LEMNOS,Batteries_New,31.536
LEMNOS,OffshoreWind,31.536
RODOS,Elec_Network,31.536
RODOS,Wind_Ex,31.536
RODOS,Wind,31.536
RODOS,PV_Ex,31.536
RODOS,PV,31.536
RODOS,RooftopPV_Ex,31.536
RODOS,RooftopPV,31.536
RODOS,Batteries_New,31.536
RODOS,OffshoreWind,31.536
KOS,Elec_Network,31.536
KOS,Wind_Ex,31.536
KOS,Wind,31.536
KOS,PV_Ex,31.536
KOS,PV,31.536
KOS,RooftopPV_Ex,31.536
KOS,RooftopPV,31.536
KOS,Batteries_New,31.536
KOS,OffshoreWind,31.536
KARPATHOS,Elec_Network,31.536
KARPATHOS,Wind_Ex,31.536
KARPATHOS,Wind,31.536
KARPATHOS,PV_Ex,31.536
KARPATHOS,PV,31.536
KARPATHOS,RooftopPV_Ex,31.536
KARPATHOS,RooftopPV,31.536
KARPATHOS,Batteries_New,31.536
KARPATHOS,OffshoreWind,31.536
EL51,HPS_New,31.536
EL52,HPS_New,31.536
EL53,HPS_New,31.536
EL54,HPS_New,31.536
EL61,HPS_New,31.536
EL62,HPS_New,31.536
EL63,HPS_New,31.536
EL64,HPS_New,31.536
EL30,HPS_New,31.536
EL65,HPS_New,31.536
SKYROS,Elec_Network,31.536
SKYROS,Wind_Ex,31.536
SKYROS,Wind,31.536
SKYROS,PV_Ex,31.536
SKYROS,PV,31.536
SKYROS,RooftopPV_Ex,31.536
SKYROS,RooftopPV,31.536
SKYROS,Batteries_New,31.536
SKYROS,OffshoreWind,31.536
SERIFOS,Elec_Network,31.536
SERIFOS,Wind_Ex,31.536
SERIFOS,Wind,31.536
SERIFOS,PV_Ex,31.536
SERIFOS,PV,31.536
SERIFOS,RooftopPV_Ex,31.536
SERIFOS,RooftopPV,31.536
SERIFOS,Batteries_New,31.536
SERIFOS,OffshoreWind,31.536
THIRA,Thira,31.536
SAMOS,Samos,31.536
CHIOS,Chios,31.536
LESVOS,Lesvos,31.536
LEMNOS,Lemnos,31.536
RODOS,Rodos,31.536
KOS,Kos_Kalymnos,31.536
KARPATHOS,Karpathos,31.536
SKYROS,Skyros,31.536
SERIFOS,Serifos,31.536
