REGION,TECHNOLOGY,YEAR,VALUE
EL64,BiomassProduction,2025,2.6976
EL64,BiomassProduction,2030,2.9471
EL64,BiomassProduction,2035,3.2388
EL64,BiomassProduction,2040,3.5305
EL64,BiomassProduction,2045,3.7453
EL64,BiomassProduction,2050,3.9601
EL30,BiomassProduction,2023,0.67983
EL30,BiomassProduction,2025,0.64425
EL30,BiomassProduction,2030,0.5553
EL30,BiomassProduction,2035,0.55455
EL30,BiomassProduction,2040,0.5538
EL30,BiomassProduction,2045,0.5513
EL30,BiomassProduction,2050,0.5488
EL65,BiomassProduction,2023,3.29464
EL65,BiomassProduction,2025,3.3022
EL65,BiomassProduction,2030,3.3211
EL65,BiomassProduction,2035,3.51545
EL65,BiomassProduction,2040,3.7098
EL65,BiomassProduction,2045,3.84975
EL65,BiomassProduction,2050,3.9897
Crete,BiomassProduction,2023,0
Crete,BiomassProduction,2025,0
Crete,BiomassProduction,2030,0
Crete,BiomassProduction,2035,0
Crete,BiomassProduction,2040,0
Crete,BiomassProduction,2045,0
Crete,BiomassProduction,2050,0
THIRA,BiomassProduction,2023,0
THIRA,BiomassProduction,2025,0
THIRA,BiomassProduction,2030,0
THIRA,BiomassProduction,2035,0
THIRA,BiomassProduction,2040,0
THIRA,BiomassProduction,2045,0
THIRA,BiomassProduction,2050,0
SAMOS,BiomassProduction,2023,0
SAMOS,BiomassProduction,2025,0
SAMOS,BiomassProduction,2030,0
SAMOS,BiomassProduction,2035,0
SAMOS,BiomassProduction,2040,0
SAMOS,BiomassProduction,2045,0
SAMOS,BiomassProduction,2050,0
CHIOS,BiomassProduction,2023,0
CHIOS,BiomassProduction,2025,0
CHIOS,BiomassProduction,2030,0
CHIOS,BiomassProduction,2035,0
CHIOS,BiomassProduction,2040,0
CHIOS,BiomassProduction,2045,0
CHIOS,BiomassProduction,2050,0
LESVOS,BiomassProduction,2023,0
LESVOS,BiomassProduction,2025,0
LESVOS,BiomassProduction,2030,0
LESVOS,BiomassProduction,2035,0
LESVOS,BiomassProduction,2040,0
LESVOS,BiomassProduction,2045,0
LESVOS,BiomassProduction,2050,0
LEMNOS,BiomassProduction,2023,0
LEMNOS,BiomassProduction,2025,0
LEMNOS,BiomassProduction,2030,0
LEMNOS,BiomassProduction,2035,0
LEMNOS,BiomassProduction,2040,0
LEMNOS,BiomassProduction,2045,0
LEMNOS,BiomassProduction,2050,0
RODOS,BiomassProduction,2023,0
RODOS,BiomassProduction,2025,0
RODOS,BiomassProduction,2030,0
RODOS,BiomassProduction,2035,0
RODOS,BiomassProduction,2040,0
RODOS,BiomassProduction,2045,0
RODOS,BiomassProduction,2050,0
KOS,BiomassProduction,2023,0
KOS,BiomassProduction,2025,0
KOS,BiomassProduction,2030,0
KOS,BiomassProduction,2035,0
KOS,BiomassProduction,2040,0
KOS,BiomassProduction,2045,0
KOS,BiomassProduction,2050,0
KARPATHOS,BiomassProduction,2023,0
KARPATHOS,BiomassProduction,2025,0
KARPATHOS,BiomassProduction,2030,0
KARPATHOS,BiomassProduction,2035,0
KARPATHOS,BiomassProduction,2040,0
KARPATHOS,BiomassProduction,2045,0
KARPATHOS,BiomassProduction,2050,0
SKYROS,BiomassProduction,2023,0
SKYROS,BiomassProduction,2025,0
SKYROS,BiomassProduction,2030,0
SKYROS,BiomassProduction,2035,0
SKYROS,BiomassProduction,2040,0
SKYROS,BiomassProduction,2045,0
SKYROS,BiomassProduction,2050,0
SERIFOS,BiomassProduction,2023,0
SERIFOS,BiomassProduction,2025,0
SERIFOS,BiomassProduction,2030,0
SERIFOS,BiomassProduction,2035,0
SERIFOS,BiomassProduction,2040,0
SERIFOS,BiomassProduction,2045,0
SERIFOS,BiomassProduction,2050,0
EL51,BiomassImports,2023,0
EL51,BiomassImports,2025,0
EL51,BiomassImports,2030,0
EL51,BiomassImports,2035,0
EL51,BiomassImports,2040,0
EL51,BiomassImports,2045,0
EL51,BiomassImports,2050,0
EL52,BiomassImports,2023,0
EL52,BiomassImports,2025,0
EL52,BiomassImports,2030,0
EL52,BiomassImports,2035,0
EL52,BiomassImports,2040,0
EL52,BiomassImports,2045,0
EL52,BiomassImports,2050,0
EL53,BiomassImports,2023,0
EL53,BiomassImports,2025,0
EL53,BiomassImports,2030,0
EL53,BiomassImports,2035,0
EL53,BiomassImports,2040,0
EL53,BiomassImports,2045,0
EL53,BiomassImports,2050,0
EL54,BiomassImports,2023,0
EL54,BiomassImports,2025,0
EL54,BiomassImports,2030,0
EL54,BiomassImports,2035,0
EL54,BiomassImports,2040,0
EL54,BiomassImports,2045,0
EL54,BiomassImports,2050,0
EL61,BiomassImports,2023,0
EL61,BiomassImports,2025,0
EL61,BiomassImports,2030,0
EL61,BiomassImports,2035,0
EL61,BiomassImports,2040,0
EL61,BiomassImports,2045,0
EL61,BiomassImports,2050,0
EL62,BiomassImports,2023,0
EL62,BiomassImports,2025,0
EL62,BiomassImports,2030,0
EL62,BiomassImports,2035,0
EL62,BiomassImports,2040,0
EL62,BiomassImports,2045,0
EL62,BiomassImports,2050,0
EL63,BiomassImports,2023,0
EL63,BiomassImports,2025,0
EL63,BiomassImports,2030,0
EL63,BiomassImports,2035,0
EL63,BiomassImports,2040,0
EL63,BiomassImports,2045,0
EL63,BiomassImports,2050,0
EL64,BiomassImports,2023,0
EL64,BiomassImports,2025,0
EL64,BiomassImports,2030,0
EL64,BiomassImports,2035,0
EL64,BiomassImports,2040,0
EL64,BiomassImports,2045,0
EL64,BiomassImports,2050,0
EL30,BiomassImports,2023,0
EL30,BiomassImports,2025,0
EL30,BiomassImports,2030,0
EL30,BiomassImports,2035,0
EL30,BiomassImports,2040,0
EL30,BiomassImports,2045,0
EL30,BiomassImports,2050,0
EL65,BiomassImports,2023,0
EL65,BiomassImports,2025,0
EL65,BiomassImports,2030,0
EL65,BiomassImports,2035,0
EL65,BiomassImports,2040,0
EL65,BiomassImports,2045,0
EL65,BiomassImports,2050,0
Crete,BiomassImports,2023,0
Crete,BiomassImports,2025,0
Crete,BiomassImports,2030,0
Crete,BiomassImports,2035,0
Crete,BiomassImports,2040,0
Crete,BiomassImports,2045,0
Crete,BiomassImports,2050,0
THIRA,BiomassImports,2023,0
THIRA,BiomassImports,2025,0
THIRA,BiomassImports,2030,0
THIRA,BiomassImports,2035,0
THIRA,BiomassImports,2040,0
THIRA,BiomassImports,2045,0
THIRA,BiomassImports,2050,0
SAMOS,BiomassImports,2023,0
SAMOS,BiomassImports,2025,0
SAMOS,BiomassImports,2030,0
SAMOS,BiomassImports,2035,0
SAMOS,BiomassImports,2040,0
SAMOS,BiomassImports,2045,0
SAMOS,BiomassImports,2050,0
CHIOS,BiomassImports,2023,0
CHIOS,BiomassImports,2025,0
CHIOS,BiomassImports,2030,0
CHIOS,BiomassImports,2035,0
CHIOS,BiomassImports,2040,0
CHIOS,BiomassImports,2045,0
CHIOS,BiomassImports,2050,0
LESVOS,BiomassImports,2023,0
LESVOS,BiomassImports,2025,0
LESVOS,BiomassImports,2030,0
LESVOS,BiomassImports,2035,0
LESVOS,BiomassImports,2040,0
LESVOS,BiomassImports,2045,0
LESVOS,BiomassImports,2050,0
LEMNOS,BiomassImports,2023,0
LEMNOS,BiomassImports,2025,0
LEMNOS,BiomassImports,2030,0
LEMNOS,BiomassImports,2035,0
LEMNOS,BiomassImports,2040,0
LEMNOS,BiomassImports,2045,0
LEMNOS,BiomassImports,2050,0
RODOS,BiomassImports,2023,0
RODOS,BiomassImports,2025,0
RODOS,BiomassImports,2030,0
RODOS,BiomassImports,2035,0
RODOS,BiomassImports,2040,0
RODOS,BiomassImports,2045,0
RODOS,BiomassImports,2050,0
KOS,BiomassImports,2023,0
