REGION,STORAGE,YEAR,VALUE
EL64,BATTERY_STORAGE_NEW,2035,0.85
EL64,BATTERY_STORAGE_NEW,2040,0.85
EL64,BATTERY_STORAGE_NEW,2045,0.85
EL64,BATTERY_STORAGE_NEW,2050,0.85
EL64,HPS_STORAGE_NEW,2023,0.8
EL64,HPS_STORAGE_NEW,2025,0.8
EL64,HPS_STORAGE_NEW,2030,0.8
EL64,HPS_STORAGE_NEW,2035,0.8
EL64,HPS_STORAGE_NEW,2040,0.8
EL64,HPS_STORAGE_NEW,2045,0.8
EL64,HPS_STORAGE_NEW,2050,0.8
EL65,BATTERY_STORAGE_NEW,2023,0.85
EL65,BATTERY_STORAGE_NEW,2025,0.85
EL65,BATTERY_STORAGE_NEW,2030,0.85
EL65,BATTERY_STORAGE_NEW,2035,0.85
EL65,BATTERY_STORAGE_NEW,2040,0.85
EL65,BATTERY_STORAGE_NEW,2045,0.85
EL65,BATTERY_STORAGE_NEW,2050,0.85
EL65,HPS_STORAGE_NEW,2023,0.8
EL65,HPS_STORAGE_NEW,2025,0.8
EL65,HPS_STORAGE_NEW,2030,0.8
EL65,HPS_STORAGE_NEW,2035,0.8
EL65,HPS_STORAGE_NEW,2040,0.8
EL65,HPS_STORAGE_NEW,2045,0.8
EL65,HPS_STORAGE_NEW,2050,0.8
EL30,BATTERY_STORAGE_NEW,2023,0.85
EL30,BATTERY_STORAGE_NEW,2025,0.85
EL30,BATTERY_STORAGE_NEW,2030,0.85
EL30,BATTERY_STORAGE_NEW,2035,0.85
EL30,BATTERY_STORAGE_NEW,2040,0.85
EL30,BATTERY_STORAGE_NEW,2045,0.85
EL30,BATTERY_STORAGE_NEW,2050,0.85
EL30,HPS_STORAGE_NEW,2023,0.8
EL30,HPS_STORAGE_NEW,2025,0.8
EL30,HPS_STORAGE_NEW,2030,0.8
EL30,HPS_STORAGE_NEW,2035,0.8
EL30,HPS_STORAGE_NEW,2040,0.8
EL30,HPS_STORAGE_NEW,2045,0.8
EL30,HPS_STORAGE_NEW,2050,0.8
THIRA,BATTERY_STORAGE_NEW,2023,0.85
THIRA,BATTERY_STORAGE_NEW,2025,0.85
THIRA,BATTERY_STORAGE_NEW,2030,0.85
THIRA,BATTERY_STORAGE_NEW,2035,0.85
THIRA,BATTERY_STORAGE_NEW,2040,0.85
THIRA,BATTERY_STORAGE_NEW,2045,0.85
THIRA,BATTERY_STORAGE_NEW,2050,0.85
CHIOS,BATTERY_STORAGE_NEW,2023,0.85
CHIOS,BATTERY_STORAGE_NEW,2025,0.85
CHIOS,BATTERY_STORAGE_NEW,2030,0.85
CHIOS,BATTERY_STORAGE_NEW,2035,0.85
CHIOS,BATTERY_STORAGE_NEW,2040,0.85
CHIOS,BATTERY_STORAGE_NEW,2045,0.85
CHIOS,BATTERY_STORAGE_NEW,2050,0.85
SAMOS,BATTERY_STORAGE_NEW,2023,0.85
SAMOS,BATTERY_STORAGE_NEW,2025,0.85
SAMOS,BATTERY_STORAGE_NEW,2030,0.85
SAMOS,BATTERY_STORAGE_NEW,2035,0.85
SAMOS,BATTERY_STORAGE_NEW,2040,0.85
SAMOS,BATTERY_STORAGE_NEW,2045,0.85
SAMOS,BATTERY_STORAGE_NEW,2050,0.85
LESVOS,BATTERY_STORAGE_NEW,2023,0.85
LESVOS,BATTERY_STORAGE_NEW,2025,0.85
LESVOS,BATTERY_STORAGE_NEW,2030,0.85
LESVOS,BATTERY_STORAGE_NEW,2035,0.85
LESVOS,BATTERY_STORAGE_NEW,2040,0.85
LESVOS,BATTERY_STORAGE_NEW,2045,0.85
LESVOS,BATTERY_STORAGE_NEW,2050,0.85
LEMNOS,BATTERY_STORAGE_NEW,2023,0.85
LEMNOS,BATTERY_STORAGE_NEW,2025,0.85
LEMNOS,BATTERY_STORAGE_NEW,2030,0.85
LEMNOS,BATTERY_STORAGE_NEW,2035,0.85
LEMNOS,BATTERY_STORAGE_NEW,2040,0.85
LEMNOS,BATTERY_STORAGE_NEW,2045,0.85
LEMNOS,BATTERY_STORAGE_NEW,2050,0.85
RODOS,BATTERY_STORAGE_NEW,2023,0.85
RODOS,BATTERY_STORAGE_NEW,2025,0.85
RODOS,BATTERY_STORAGE_NEW,2030,0.85
RODOS,BATTERY_STORAGE_NEW,2035,0.85
RODOS,BATTERY_STORAGE_NEW,2040,0.85
RODOS,BATTERY_STORAGE_NEW,2045,0.85
RODOS,BATTERY_STORAGE_NEW,2050,0.85
KOS,BATTERY_STORAGE_NEW,2023,0.85
KOS,BATTERY_STORAGE_NEW,2025,0.85
KOS,BATTERY_STORAGE_NEW,2030,0.85
KOS,BATTERY_STORAGE_NEW,2035,0.85
KOS,BATTERY_STORAGE_NEW,2040,0.85
KOS,BATTERY_STORAGE_NEW,2045,0.85
KOS,BATTERY_STORAGE_NEW,2050,0.85
KARPATHOS,BATTERY_STORAGE_NEW,2023,0.85
KARPATHOS,BATTERY_STORAGE_NEW,2025,0.85
KARPATHOS,BATTERY_STORAGE_NEW,2030,0.85
KARPATHOS,BATTERY_STORAGE_NEW,2035,0.85
KARPATHOS,BATTERY_STORAGE_NEW,2040,0.85
KARPATHOS,BATTERY_STORAGE_NEW,2045,0.85
KARPATHOS,BATTERY_STORAGE_NEW,2050,0.85
SKYROS,BATTERY_STORAGE_NEW,2023,0.85
SKYROS,BATTERY_STORAGE_NEW,2025,0.85
SKYROS,BATTERY_STORAGE_NEW,2030,0.85
SKYROS,BATTERY_STORAGE_NEW,2035,0.85
SKYROS,BATTERY_STORAGE_NEW,2040,0.85
SKYROS,BATTERY_STORAGE_NEW,2045,0.85
SKYROS,BATTERY_STORAGE_NEW,2050,0.85
SERIFOS,BATTERY_STORAGE_NEW,2023,0.85
SERIFOS,BATTERY_STORAGE_NEW,2025,0.85
SERIFOS,BATTERY_STORAGE_NEW,2030,0.85
SERIFOS,BATTERY_STORAGE_NEW,2035,0.85
SERIFOS,BATTERY_STORAGE_NEW,2040,0.85
SERIFOS,BATTERY_STORAGE_NEW,2045,0.85
SERIFOS,BATTERY_STORAGE_NEW,2050,0.85
