REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
EL53,Biomass_CCS,1,2040,8.33334
EL53,Biomass_CCS,1,2045,8.33334
EL53,Biomass_CCS,1,2050,8.33334
EL54,Biomass_CCS,1,2023,8.33334
EL54,Biomass_CCS,1,2025,8.33334
EL54,Biomass_CCS,1,2030,8.33334
EL54,Biomass_CCS,1,2035,8.33334
EL54,Biomass_CCS,1,2040,8.33334
EL54,Biomass_CCS,1,2045,8.33334
EL54,Biomass_CCS,1,2050,8.33334
EL61,Biomass_CCS,1,2023,8.33334
EL61,Biomass_CCS,1,2025,8.33334
EL61,Biomass_CCS,1,2030,8.33334
EL61,Biomass_CCS,1,2035,8.33334
EL61,Biomass_CCS,1,2040,8.33334
EL61,Biomass_CCS,1,2045,8.33334
EL61,Biomass_CCS,1,2050,8.33334
EL62,Biomass_CCS,1,2023,8.33334
EL62,Biomass_CCS,1,2025,8.33334
EL62,Biomass_CCS,1,2030,8.33334
EL62,Biomass_CCS,1,2035,8.33334
EL62,Biomass_CCS,1,2040,8.33334
EL62,Biomass_CCS,1,2045,8.33334
EL62,Biomass_CCS,1,2050,8.33334
EL63,Biomass_CCS,1,2023,8.33334
EL63,Biomass_CCS,1,2025,8.33334
EL63,Biomass_CCS,1,2030,8.33334
EL63,Biomass_CCS,1,2035,8.33334
EL63,Biomass_CCS,1,2040,8.33334
EL63,Biomass_CCS,1,2045,8.33334
EL63,Biomass_CCS,1,2050,8.33334
EL64,Biomass_CCS,1,2023,8.33334
EL64,Biomass_CCS,1,2025,8.33334
EL64,Biomass_CCS,1,2030,8.33334
EL64,Biomass_CCS,1,2035,8.33334
EL64,Biomass_CCS,1,2040,8.33334
EL64,Biomass_CCS,1,2045,8.33334
EL64,Biomass_CCS,1,2050,8.33334
EL30,Biomass_CCS,1,2023,8.33334
EL30,Biomass_CCS,1,2025,8.33334
EL30,Biomass_CCS,1,2030,8.33334
EL30,Biomass_CCS,1,2035,8.33334
EL30,Biomass_CCS,1,2040,8.33334
EL30,Biomass_CCS,1,2045,8.33334
EL30,Biomass_CCS,1,2050,8.33334
EL65,Biomass_CCS,1,2023,8.33334
EL65,Biomass_CCS,1,2025,8.33334
EL65,Biomass_CCS,1,2030,8.33334
EL65,Biomass_CCS,1,2035,8.33334
EL65,Biomass_CCS,1,2040,8.33334
EL65,Biomass_CCS,1,2045,8.33334
EL65,Biomass_CCS,1,2050,8.33334
EL51,Biomass_Ex,1,2023,1.05
EL51,Biomass_Ex,1,2025,1.05
EL51,Biomass_Ex,1,2030,1.05
EL51,Biomass_Ex,1,2035,1.05
EL51,Biomass_Ex,1,2040,1.05
EL51,Biomass_Ex,1,2045,1.05
EL51,Biomass_Ex,1,2050,1.05
EL52,Biomass_Ex,1,2023,1.05
EL52,Biomass_Ex,1,2025,1.05
EL52,Biomass_Ex,1,2030,1.05
EL52,Biomass_Ex,1,2035,1.05
EL52,Biomass_Ex,1,2040,1.05
EL52,Biomass_Ex,1,2045,1.05
EL52,Biomass_Ex,1,2050,1.05
EL53,Biomass_Ex,1,2023,1.05
EL53,Biomass_Ex,1,2025,1.05
EL53,Biomass_Ex,1,2030,1.05
EL53,Biomass_Ex,1,2035,1.05
EL53,Biomass_Ex,1,2040,1.05
EL53,Biomass_Ex,1,2045,1.05
EL53,Biomass_Ex,1,2050,1.05
EL54,Biomass_Ex,1,2023,1.05
EL54,Biomass_Ex,1,2025,1.05
EL54,Biomass_Ex,1,2030,1.05
EL54,Biomass_Ex,1,2035,1.05
