REGION,REGION,FUEL,YEAR,VALUE
EL63,EL54,Elec_Transmission,2023,1
EL63,EL54,Elec_Transmission,2025,1
EL63,EL54,Elec_Transmission,2030,1
EL63,EL54,Elec_Transmission,2035,1
EL63,EL54,Elec_Transmission,2040,1
EL63,EL54,Elec_Transmission,2045,1
EL63,EL54,Elec_Transmission,2050,1
EL63,EL62,Elec_Transmission,2023,1
EL63,EL62,Elec_Transmission,2025,1
EL63,EL62,Elec_Transmission,2030,1
EL63,EL62,Elec_Transmission,2035,1
EL63,EL62,Elec_Transmission,2040,1
EL63,EL62,Elec_Transmission,2045,1
EL63,EL62,Elec_Transmission,2050,1
EL62,EL63,Elec_Transmission,2023,1
EL62,EL63,Elec_Transmission,2025,1
EL62,EL63,Elec_Transmission,2030,1
EL62,EL63,Elec_Transmission,2035,1
EL62,EL63,Elec_Transmission,2040,1
EL62,EL63,Elec_Transmission,2045,1
EL62,EL63,Elec_Transmission,2050,1
EL63,EL64,Elec_Transmission,2023,1
EL63,EL64,Elec_Transmission,2025,1
EL63,EL64,Elec_Transmission,2030,1
EL63,EL64,Elec_Transmission,2035,1
EL63,EL64,Elec_Transmission,2040,1
EL63,EL64,Elec_Transmission,2045,1
EL63,EL64,Elec_Transmission,2050,1
EL64,EL63,Elec_Transmission,2023,1
EL64,EL63,Elec_Transmission,2025,1
EL64,EL63,Elec_Transmission,2030,1
EL64,EL63,Elec_Transmission,2035,1
EL64,EL63,Elec_Transmission,2040,1
EL64,EL63,Elec_Transmission,2045,1
EL64,EL63,Elec_Transmission,2050,1
EL63,EL65,Elec_Transmission,2023,1
EL63,EL65,Elec_Transmission,2025,1
EL63,EL65,Elec_Transmission,2030,1
EL63,EL65,Elec_Transmission,2035,1
EL63,EL65,Elec_Transmission,2040,1
EL63,EL65,Elec_Transmission,2045,1
EL63,EL65,Elec_Transmission,2050,1
EL65,EL63,Elec_Transmission,2023,1
EL65,EL63,Elec_Transmission,2025,1
EL65,EL63,Elec_Transmission,2030,1
EL65,EL63,Elec_Transmission,2035,1
EL65,EL63,Elec_Transmission,2040,1
EL65,EL63,Elec_Transmission,2045,1
EL65,EL63,Elec_Transmission,2050,1
EL64,EL30,Elec_Transmission,2023,1
EL64,EL30,Elec_Transmission,2025,1
EL64,EL30,Elec_Transmission,2030,1
EL64,EL30,Elec_Transmission,2035,1
EL64,EL30,Elec_Transmission,2040,1
EL64,EL30,Elec_Transmission,2045,1
EL64,EL30,Elec_Transmission,2050,1
EL30,EL64,Elec_Transmission,2023,1
EL30,EL64,Elec_Transmission,2025,1
EL30,EL64,Elec_Transmission,2030,1
EL30,EL64,Elec_Transmission,2035,1
EL30,EL64,Elec_Transmission,2040,1
EL30,EL64,Elec_Transmission,2045,1
EL30,EL64,Elec_Transmission,2050,1
EL65,EL30,Elec_Transmission,2023,1
EL65,EL30,Elec_Transmission,2025,1
EL65,EL30,Elec_Transmission,2030,1
EL65,EL30,Elec_Transmission,2035,1
EL65,EL30,Elec_Transmission,2040,1
EL65,EL30,Elec_Transmission,2045,1
EL65,EL30,Elec_Transmission,2050,1
EL30,EL65,Elec_Transmission,2023,1
EL30,EL65,Elec_Transmission,2025,1
EL30,EL65,Elec_Transmission,2030,1
EL30,EL65,Elec_Transmission,2035,1
EL30,EL65,Elec_Transmission,2040,1
EL30,EL65,Elec_Transmission,2045,1
EL30,EL65,Elec_Transmission,2050,1
EL65,Crete,Elec_Transmission,2023,0
EL65,Crete,Elec_Transmission,2025,1
EL65,Crete,Elec_Transmission,2030,1
EL65,Crete,Elec_Transmission,2035,1
EL65,Crete,Elec_Transmission,2040,1
EL65,Crete,Elec_Transmission,2045,1
EL65,Crete,Elec_Transmission,2050,1
Crete,EL65,Elec_Transmission,2023,0
Crete,EL65,Elec_Transmission,2025,1
Crete,EL65,Elec_Transmission,2030,1
Crete,EL65,Elec_Transmission,2035,1
Crete,EL65,Elec_Transmission,2040,1
Crete,EL65,Elec_Transmission,2045,1
Crete,EL65,Elec_Transmission,2050,1
EL30,Crete,Elec_Transmission,2023,0
EL30,Crete,Elec_Transmission,2025,0
EL30,Crete,Elec_Transmission,2030,1
EL30,Crete,Elec_Transmission,2035,1
EL30,Crete,Elec_Transmission,2040,1
EL30,Crete,Elec_Transmission,2045,1
EL30,Crete,Elec_Transmission,2050,1
Crete,EL30,Elec_Transmission,2023,0
Crete,EL30,Elec_Transmission,2025,0
Crete,EL30,Elec_Transmission,2030,1
Crete,EL30,Elec_Transmission,2035,1
Crete,EL30,Elec_Transmission,2040,1
Crete,EL30,Elec_Transmission,2045,1
Crete,EL30,Elec_Transmission,2050,1
EL51,LEMNOS,Elec_Transmission,2023,0
EL51,LEMNOS,Elec_Transmission,2025,0
EL51,LEMNOS,Elec_Transmission,2030,0
EL51,LEMNOS,Elec_Transmission,2035,1
EL51,LEMNOS,Elec_Transmission,2040,1
EL51,LEMNOS,Elec_Transmission,2045,1
EL51,LEMNOS,Elec_Transmission,2050,1
LEMNOS,EL51,Elec_Transmission,2023,0
LEMNOS,EL51,Elec_Transmission,2025,0
LEMNOS,EL51,Elec_Transmission,2030,0
LEMNOS,EL51,Elec_Transmission,2035,1
LEMNOS,EL51,Elec_Transmission,2040,1
LEMNOS,EL51,Elec_Transmission,2045,1
LEMNOS,EL51,Elec_Transmission,2050,1
LEMNOS,LESVOS,Elec_Transmission,2023,0
LEMNOS,LESVOS,Elec_Transmission,2025,0
LEMNOS,LESVOS,Elec_Transmission,2030,0
LEMNOS,LESVOS,Elec_Transmission,2035,1
LEMNOS,LESVOS,Elec_Transmission,2040,1
LEMNOS,LESVOS,Elec_Transmission,2045,1
LEMNOS,LESVOS,Elec_Transmission,2050,1
LESVOS,LEMNOS,Elec_Transmission,2023,0
LESVOS,LEMNOS,Elec_Transmission,2025,0
LESVOS,LEMNOS,Elec_Transmission,2030,0
LESVOS,LEMNOS,Elec_Transmission,2035,1
LESVOS,LEMNOS,Elec_Transmission,2040,1
LESVOS,LEMNOS,Elec_Transmission,2045,1
LESVOS,LEMNOS,Elec_Transmission,2050,1
EL64,SKYROS,Elec_Transmission,2023,0
EL64,SKYROS,Elec_Transmission,2025,0
EL64,SKYROS,Elec_Transmission,2030,0
EL64,SKYROS,Elec_Transmission,2035,1
EL64,SKYROS,Elec_Transmission,2040,1
EL64,SKYROS,Elec_Transmission,2045,1
EL64,SKYROS,Elec_Transmission,2050,1
SKYROS,EL64,Elec_Transmission,2023,0
SKYROS,EL64,Elec_Transmission,2025,0
SKYROS,EL64,Elec_Transmission,2030,0
SKYROS,EL64,Elec_Transmission,2035,1
SKYROS,EL64,Elec_Transmission,2040,1
SKYROS,EL64,Elec_Transmission,2045,1
SKYROS,EL64,Elec_Transmission,2050,1
SKYROS,LESVOS,Elec_Transmission,2023,0
SKYROS,LESVOS,Elec_Transmission,2025,0
SKYROS,LESVOS,Elec_Transmission,2030,0
SKYROS,LESVOS,Elec_Transmission,2035,1
SKYROS,LESVOS,Elec_Transmission,2040,1
SKYROS,LESVOS,Elec_Transmission,2045,1
SKYROS,LESVOS,Elec_Transmission,2050,1
LESVOS,SKYROS,Elec_Transmission,2023,0
LESVOS,SKYROS,Elec_Transmission,2025,0
LESVOS,SKYROS,Elec_Transmission,2030,0
LESVOS,SKYROS,Elec_Transmission,2035,1
LESVOS,SKYROS,Elec_Transmission,2040,1
LESVOS,SKYROS,Elec_Transmission,2045,1
LESVOS,SKYROS,Elec_Transmission,2050,1
LESVOS,CHIOS,Elec_Transmission,2023,0
LESVOS,CHIOS,Elec_Transmission,2025,0
LESVOS,CHIOS,Elec_Transmission,2030,0
LESVOS,CHIOS,Elec_Transmission,2035,1
LESVOS,CHIOS,Elec_Transmission,2040,1
LESVOS,CHIOS,Elec_Transmission,2045,1
LESVOS,CHIOS,Elec_Transmission,2050,1
CHIOS,LESVOS,Elec_Transmission,2023,0
CHIOS,LESVOS,Elec_Transmission,2025,0
CHIOS,LESVOS,Elec_Transmission,2030,0
CHIOS,LESVOS,Elec_Transmission,2035,1
CHIOS,LESVOS,Elec_Transmission,2040,1
CHIOS,LESVOS,Elec_Transmission,2045,1
CHIOS,LESVOS,Elec_Transmission,2050,1
CHIOS,SAMOS,Elec_Transmission,2023,0
CHIOS,SAMOS,Elec_Transmission,2025,0
CHIOS,SAMOS,Elec_Transmission,2030,0
CHIOS,SAMOS,Elec_Transmission,2035,1
