REGION,TECHNOLOGY,YEAR,VALUE
EL54,OffshoreWind,2045,1615
EL54,OffshoreWind,2050,1440
EL54,PV,2023,750
EL54,PV,2025,667
EL54,PV,2030,460
EL54,PV,2035,425
EL54,PV,2040,390
EL54,PV,2045,355
EL54,PV,2050,320
EL54,RooftopPV,2023,1255
EL54,RooftopPV,2025,1125
EL54,RooftopPV,2030,800
EL54,RooftopPV,2035,743
EL54,RooftopPV,2040,685
EL54,RooftopPV,2045,628
EL54,RooftopPV,2050,570
EL54,RoR,2023,3900
EL54,RoR,2025,3900
EL54,RoR,2030,3900
EL54,RoR,2035,3888
EL54,RoR,2040,3875
EL54,RoR,2045,3863
EL54,RoR,2050,3850
EL54,Wind,2023,1630
EL54,Wind,2025,1601
EL54,Wind,2030,1530
EL54,Wind,2035,1509
EL54,Wind,2040,1487
EL54,Wind,2045,1466
EL54,Wind,2050,1444
EL61,BackStop,2023,99999
EL61,BackStop,2025,99999
EL61,BackStop,2030,99999
EL61,BackStop,2035,99999
EL61,BackStop,2040,99999
EL61,BackStop,2045,99999
EL61,BackStop,2050,99999
EL61,Batteries_New,2023,359.2827058
EL61,Batteries_New,2025,311.3593197
EL61,Batteries_New,2030,317.3839866
EL61,Batteries_New,2035,306.440749
EL61,Batteries_New,2040,295.0258889
EL61,Batteries_New,2045,283.0305775
EL61,Batteries_New,2050,270.3097124
EL61,Biomass,2023,2387.5
EL61,Biomass,2025,2362.5
EL61,Biomass,2030,2300
EL61,Biomass,2035,2275
EL61,Biomass,2040,2250
EL61,Biomass,2045,2225
EL61,Biomass,2050,2200
EL61,Biomass_CCS,2023,5675
EL61,Biomass_CCS,2025,5450
EL61,Biomass_CCS,2030,5150
EL61,Biomass_CCS,2035,4913
EL61,Biomass_CCS,2040,4675
EL61,Biomass_CCS,2045,4438
EL61,Biomass_CCS,2050,4200
EL61,CCGT,2023,1000
EL61,CCGT,2025,1000
EL61,CCGT,2030,1000
EL61,CCGT,2035,1000
EL61,CCGT,2040,1000
EL61,CCGT,2045,1000
EL61,CCGT,2050,1000
EL61,Elec_Network,2023,994.51
EL61,Elec_Network,2025,994.51
EL61,Elec_Network,2030,994.51
EL61,Elec_Network,2035,994.51
EL61,Elec_Network,2040,994.51
EL61,Elec_Network,2045,994.51
EL61,Elec_Network,2050,994.51
EL61,Gas_CCS,2023,3019
EL61,Gas_CCS,2025,2856
EL61,Gas_CCS,2030,2450
EL61,Gas_CCS,2035,2363
EL61,Gas_CCS,2040,2275
EL61,Gas_CCS,2045,2188
EL61,Gas_CCS,2050,2100
EL61,Geothermal_HI,2023,2825
EL61,Geothermal_HI,2025,2775
EL61,Geothermal_HI,2030,2650
EL61,Geothermal_HI,2035,2600
EL61,Geothermal_HI,2040,2550
EL61,Geothermal_HI,2045,2500
EL61,Geothermal_HI,2050,2450
EL61,Geothermal_ME,2023,2675
EL61,Geothermal_ME,2025,2751
EL61,Geothermal_ME,2030,2940
EL61,Geothermal_ME,2035,2953
EL61,Geothermal_ME,2040,2968
EL61,Geothermal_ME,2045,2982
EL61,Geothermal_ME,2050,2996
EL61,HydroStor,2023,2650
EL61,HydroStor,2025,2650
EL61,HydroStor,2030,2650
EL61,HydroStor,2035,2650
EL61,HydroStor,2040,2650
EL61,HydroStor,2045,2650
