REGION,TECHNOLOGY,VALUE
RODOS,PV,30
RODOS,RooftopPV_Ex,30
RODOS,RooftopPV,30
RODOS,Elec_Network,40
KOS,OffshoreWind,30
KOS,Batteries_New,15
KOS,Wind_Ex,30
KOS,Wind,30
KOS,PV_Ex,30
KOS,PV,30
KOS,RooftopPV_Ex,30
KOS,RooftopPV,30
KOS,Elec_Network,40
KARPATHOS,OffshoreWind,30
KARPATHOS,Batteries_New,15
KARPATHOS,Wind_Ex,30
KARPATHOS,Wind,30
KARPATHOS,PV_Ex,30
KARPATHOS,PV,30
KARPATHOS,RooftopPV_Ex,30
KARPATHOS,RooftopPV,30
KARPATHOS,Elec_Network,40
SKYROS,OffshoreWind,30
SKYROS,Batteries_New,15
SKYROS,Wind_Ex,30
SKYROS,Wind,30
SKYROS,PV_Ex,30
SKYROS,PV,30
SKYROS,RooftopPV_Ex,30
SKYROS,RooftopPV,30
SKYROS,Elec_Network,40
SERIFOS,OffshoreWind,30
SERIFOS,Batteries_New,15
SERIFOS,Wind_Ex,30
SERIFOS,Wind,30
SERIFOS,PV_Ex,30
SERIFOS,PV,30
SERIFOS,RooftopPV_Ex,30
SERIFOS,RooftopPV,30
SERIFOS,Elec_Network,40
