REGION,TECHNOLOGY,YEAR,VALUE
RODOS,Biomass_CCS,2050,0
SAMOS,Biomass_CCS,2023,0
SAMOS,Biomass_CCS,2025,0
SAMOS,Biomass_CCS,2030,0
SAMOS,Biomass_CCS,2035,0
SAMOS,Biomass_CCS,2040,0
SAMOS,Biomass_CCS,2045,0
SAMOS,Biomass_CCS,2050,0
SERIFOS,Biomass_CCS,2023,0
SERIFOS,Biomass_CCS,2025,0
SERIFOS,Biomass_CCS,2030,0
SERIFOS,Biomass_CCS,2035,0
SERIFOS,Biomass_CCS,2040,0
SERIFOS,Biomass_CCS,2045,0
SERIFOS,Biomass_CCS,2050,0
SKYROS,Biomass_CCS,2023,0
SKYROS,Biomass_CCS,2025,0
SKYROS,Biomass_CCS,2030,0
SKYROS,Biomass_CCS,2035,0
SKYROS,Biomass_CCS,2040,0
SKYROS,Biomass_CCS,2045,0
SKYROS,Biomass_CCS,2050,0
THIRA,Biomass_CCS,2023,0
THIRA,Biomass_CCS,2025,0
THIRA,Biomass_CCS,2030,0
THIRA,Biomass_CCS,2035,0
THIRA,Biomass_CCS,2040,0
THIRA,Biomass_CCS,2045,0
THIRA,Biomass_CCS,2050,0
Crete,Biomass_CCS,2023,0
Crete,Biomass_CCS,2025,0
Crete,Biomass_CCS,2030,0
Crete,Biomass_CCS,2035,0
Crete,Biomass_CCS,2040,0
Crete,Biomass_CCS,2045,0
Crete,Biomass_CCS,2050,0
CHIOS,Biomass_CCS,2023,0
CHIOS,Biomass_CCS,2025,0
CHIOS,Biomass_CCS,2030,0
CHIOS,Biomass_CCS,2035,0
CHIOS,Biomass_CCS,2040,0
CHIOS,Biomass_CCS,2045,0
CHIOS,Biomass_CCS,2050,0
EL30,Geothermal_HI,2023,0.035
EL30,Geothermal_HI,2025,0.035
EL30,Geothermal_HI,2030,0.035
EL30,Geothermal_HI,2035,0.035
EL30,Geothermal_HI,2040,0.035
EL30,Geothermal_HI,2045,0.035
EL30,Geothermal_HI,2050,0.035
EL51,Geothermal_HI,2023,0.035
EL51,Geothermal_HI,2025,0.035
EL51,Geothermal_HI,2030,0.035
EL51,Geothermal_HI,2035,0.035
EL51,Geothermal_HI,2040,0.035
EL51,Geothermal_HI,2045,0.035
EL51,Geothermal_HI,2050,0.035
EL52,Geothermal_HI,2023,0.035
EL52,Geothermal_HI,2025,0.035
EL52,Geothermal_HI,2030,0.035
EL52,Geothermal_HI,2035,0.035
EL52,Geothermal_HI,2040,0.035
EL52,Geothermal_HI,2045,0.035
EL52,Geothermal_HI,2050,0.035
EL53,Geothermal_HI,2023,0.035
EL53,Geothermal_HI,2025,0.035
EL53,Geothermal_HI,2030,0.035
EL53,Geothermal_HI,2035,0.035
EL53,Geothermal_HI,2040,0.035
EL53,Geothermal_HI,2045,0.035
EL53,Geothermal_HI,2050,0.035
EL54,Geothermal_HI,2023,0.035
EL54,Geothermal_HI,2025,0.035
EL54,Geothermal_HI,2030,0.035
EL54,Geothermal_HI,2035,0.035
EL54,Geothermal_HI,2040,0.035
EL54,Geothermal_HI,2045,0.035
EL54,Geothermal_HI,2050,0.035
EL61,Geothermal_HI,2023,0.035
EL61,Geothermal_HI,2025,0.035
EL61,Geothermal_HI,2030,0.035
EL61,Geothermal_HI,2035,0.035
EL61,Geothermal_HI,2040,0.035
EL61,Geothermal_HI,2045,0.035
EL61,Geothermal_HI,2050,0.035
EL62,Geothermal_HI,2023,0.035
EL62,Geothermal_HI,2025,0.035
EL62,Geothermal_HI,2030,0.035
EL62,Geothermal_HI,2035,0.035
EL62,Geothermal_HI,2040,0.035
EL62,Geothermal_HI,2045,0.035
EL62,Geothermal_HI,2050,0.035
EL63,Geothermal_HI,2023,0.035
EL63,Geothermal_HI,2025,0.035
EL63,Geothermal_HI,2030,0.035
EL63,Geothermal_HI,2035,0.035
EL63,Geothermal_HI,2040,0.035
EL63,Geothermal_HI,2045,0.035
EL63,Geothermal_HI,2050,0.035
EL64,Geothermal_HI,2023,0.035
EL64,Geothermal_HI,2025,0.035
EL64,Geothermal_HI,2030,0.035
EL64,Geothermal_HI,2035,0.035
EL64,Geothermal_HI,2040,0.035
EL64,Geothermal_HI,2045,0.035
EL64,Geothermal_HI,2050,0.035
EL65,Geothermal_HI,2023,0.035
EL65,Geothermal_HI,2025,0.035
EL65,Geothermal_HI,2030,0.035
EL65,Geothermal_HI,2035,0.035
EL65,Geothermal_HI,2040,0.035
EL65,Geothermal_HI,2045,0.035
EL65,Geothermal_HI,2050,0.035
EL30,Geothermal_ME,2023,0.035
EL30,Geothermal_ME,2025,0.035
EL30,Geothermal_ME,2030,0.035
EL30,Geothermal_ME,2035,0.035
EL30,Geothermal_ME,2040,0.035
EL30,Geothermal_ME,2045,0.035
EL30,Geothermal_ME,2050,0.035
EL51,Geothermal_ME,2023,0.035
EL51,Geothermal_ME,2025,0.035
EL51,Geothermal_ME,2030,0.035
EL51,Geothermal_ME,2035,0.035
EL51,Geothermal_ME,2040,0.035
EL51,Geothermal_ME,2045,0.035
EL51,Geothermal_ME,2050,0.035
EL52,Geothermal_ME,2023,0.035
EL52,Geothermal_ME,2025,0.035
EL52,Geothermal_ME,2030,0.035
EL52,Geothermal_ME,2035,0.035
EL52,Geothermal_ME,2040,0.035
EL52,Geothermal_ME,2045,0.035
EL52,Geothermal_ME,2050,0.035
EL53,Geothermal_ME,2023,0.035
EL53,Geothermal_ME,2025,0.035
EL53,Geothermal_ME,2030,0.035
EL53,Geothermal_ME,2035,0.035
EL53,Geothermal_ME,2040,0.035
EL53,Geothermal_ME,2045,0.035
EL53,Geothermal_ME,2050,0.035
EL54,Geothermal_ME,2023,0.035
EL54,Geothermal_ME,2025,0.035
EL54,Geothermal_ME,2030,0.035
EL54,Geothermal_ME,2035,0.035
EL54,Geothermal_ME,2040,0.035
EL54,Geothermal_ME,2045,0.035
EL54,Geothermal_ME,2050,0.035
EL61,Geothermal_ME,2023,0.035
EL61,Geothermal_ME,2025,0.035
EL61,Geothermal_ME,2030,0.035
EL61,Geothermal_ME,2035,0.035
EL61,Geothermal_ME,2040,0.035
EL61,Geothermal_ME,2045,0.035
EL61,Geothermal_ME,2050,0.035
EL62,Geothermal_ME,2023,0.035
EL62,Geothermal_ME,2025,0.035
EL62,Geothermal_ME,2030,0.035
EL62,Geothermal_ME,2035,0.035
EL62,Geothermal_ME,2040,0.035
EL62,Geothermal_ME,2045,0.035
EL62,Geothermal_ME,2050,0.035
EL63,Geothermal_ME,2023,0.035
EL63,Geothermal_ME,2025,0.035
EL63,Geothermal_ME,2030,0.035
EL63,Geothermal_ME,2035,0.035
EL63,Geothermal_ME,2040,0.035
EL63,Geothermal_ME,2045,0.035
EL63,Geothermal_ME,2050,0.035
EL64,Geothermal_ME,2023,0.035
EL64,Geothermal_ME,2025,0.035
EL64,Geothermal_ME,2030,0.035
EL64,Geothermal_ME,2035,0.035
EL64,Geothermal_ME,2040,0.035
EL64,Geothermal_ME,2045,0.035
EL64,Geothermal_ME,2050,0.035
EL65,Geothermal_ME,2023,0.035
EL65,Geothermal_ME,2025,0.035
