REGION,REGION,FUEL,YEAR,VALUE
EL65,Crete,Elec_Transmission,2050,0.18
Crete,EL65,Elec_Transmission,2023,0
Crete,EL65,Elec_Transmission,2025,0.18
Crete,EL65,Elec_Transmission,2030,0.18
Crete,EL65,Elec_Transmission,2035,0.18
Crete,EL65,Elec_Transmission,2040,0.18
Crete,EL65,Elec_Transmission,2045,0.18
Crete,EL65,Elec_Transmission,2050,0.18
EL30,Crete,Elec_Transmission,2023,0
EL30,Crete,Elec_Transmission,2025,0
EL30,Crete,Elec_Transmission,2030,1
EL30,Crete,Elec_Transmission,2035,1
EL30,Crete,Elec_Transmission,2040,1
EL30,Crete,Elec_Transmission,2045,1
EL30,Crete,Elec_Transmission,2050,1
Crete,EL30,Elec_Transmission,2023,0
Crete,EL30,Elec_Transmission,2025,0
Crete,EL30,Elec_Transmission,2030,1
Crete,EL30,Elec_Transmission,2035,1
Crete,EL30,Elec_Transmission,2040,1
Crete,EL30,Elec_Transmission,2045,1
Crete,EL30,Elec_Transmission,2050,1
EL51,LEMNOS,Elec_Transmission,2023,0
EL51,LEMNOS,Elec_Transmission,2025,0
EL51,LEMNOS,Elec_Transmission,2030,0
EL51,LEMNOS,Elec_Transmission,2035,0.24
EL51,LEMNOS,Elec_Transmission,2040,0.24
EL51,LEMNOS,Elec_Transmission,2045,0.24
EL51,LEMNOS,Elec_Transmission,2050,0.24
LEMNOS,EL51,Elec_Transmission,2023,0
LEMNOS,EL51,Elec_Transmission,2025,0
LEMNOS,EL51,Elec_Transmission,2030,0
LEMNOS,EL51,Elec_Transmission,2035,0.24
LEMNOS,EL51,Elec_Transmission,2040,0.24
LEMNOS,EL51,Elec_Transmission,2045,0.24
LEMNOS,EL51,Elec_Transmission,2050,0.24
LEMNOS,LESVOS,Elec_Transmission,2023,0
LEMNOS,LESVOS,Elec_Transmission,2025,0
LEMNOS,LESVOS,Elec_Transmission,2030,0
LEMNOS,LESVOS,Elec_Transmission,2035,0.24
LEMNOS,LESVOS,Elec_Transmission,2040,0.24
LEMNOS,LESVOS,Elec_Transmission,2045,0.24
LEMNOS,LESVOS,Elec_Transmission,2050,0.24
LESVOS,LEMNOS,Elec_Transmission,2023,0
LESVOS,LEMNOS,Elec_Transmission,2025,0
LESVOS,LEMNOS,Elec_Transmission,2030,0
LESVOS,LEMNOS,Elec_Transmission,2035,0.24
LESVOS,LEMNOS,Elec_Transmission,2040,0.24
LESVOS,LEMNOS,Elec_Transmission,2045,0.24
LESVOS,LEMNOS,Elec_Transmission,2050,0.24
EL64,SKYROS,Elec_Transmission,2023,0
EL64,SKYROS,Elec_Transmission,2025,0
EL64,SKYROS,Elec_Transmission,2030,0
EL64,SKYROS,Elec_Transmission,2035,0.24
EL64,SKYROS,Elec_Transmission,2040,0.24
EL64,SKYROS,Elec_Transmission,2045,0.24
EL64,SKYROS,Elec_Transmission,2050,0.24
SKYROS,EL64,Elec_Transmission,2023,0
SKYROS,EL64,Elec_Transmission,2025,0
SKYROS,EL64,Elec_Transmission,2030,0
SKYROS,EL64,Elec_Transmission,2035,0.24
SKYROS,EL64,Elec_Transmission,2040,0.24
SKYROS,EL64,Elec_Transmission,2045,0.24
SKYROS,EL64,Elec_Transmission,2050,0.24
SKYROS,LESVOS,Elec_Transmission,2023,0
SKYROS,LESVOS,Elec_Transmission,2025,0
SKYROS,LESVOS,Elec_Transmission,2030,0
SKYROS,LESVOS,Elec_Transmission,2035,0.24
SKYROS,LESVOS,Elec_Transmission,2040,0.24
SKYROS,LESVOS,Elec_Transmission,2045,0.24
SKYROS,LESVOS,Elec_Transmission,2050,0.24
LESVOS,SKYROS,Elec_Transmission,2023,0
LESVOS,SKYROS,Elec_Transmission,2025,0
LESVOS,SKYROS,Elec_Transmission,2030,0
LESVOS,SKYROS,Elec_Transmission,2035,0.24
LESVOS,SKYROS,Elec_Transmission,2040,0.24
LESVOS,SKYROS,Elec_Transmission,2045,0.24
LESVOS,SKYROS,Elec_Transmission,2050,0.24
LESVOS,CHIOS,Elec_Transmission,2023,0
LESVOS,CHIOS,Elec_Transmission,2025,0
LESVOS,CHIOS,Elec_Transmission,2030,0
LESVOS,CHIOS,Elec_Transmission,2035,0.24
LESVOS,CHIOS,Elec_Transmission,2040,0.24
LESVOS,CHIOS,Elec_Transmission,2045,0.24
LESVOS,CHIOS,Elec_Transmission,2050,0.24
CHIOS,LESVOS,Elec_Transmission,2023,0
CHIOS,LESVOS,Elec_Transmission,2025,0
CHIOS,LESVOS,Elec_Transmission,2030,0
CHIOS,LESVOS,Elec_Transmission,2035,0.24
CHIOS,LESVOS,Elec_Transmission,2040,0.24
CHIOS,LESVOS,Elec_Transmission,2045,0.24
CHIOS,LESVOS,Elec_Transmission,2050,0.24
CHIOS,SAMOS,Elec_Transmission,2023,0
CHIOS,SAMOS,Elec_Transmission,2025,0
CHIOS,SAMOS,Elec_Transmission,2030,0
CHIOS,SAMOS,Elec_Transmission,2035,0.24
CHIOS,SAMOS,Elec_Transmission,2040,0.24
CHIOS,SAMOS,Elec_Transmission,2045,0.24
CHIOS,SAMOS,Elec_Transmission,2050,0.24
SAMOS,CHIOS,Elec_Transmission,2023,0
SAMOS,CHIOS,Elec_Transmission,2025,0
SAMOS,CHIOS,Elec_Transmission,2030,0
SAMOS,CHIOS,Elec_Transmission,2035,0.24
SAMOS,CHIOS,Elec_Transmission,2040,0.24
SAMOS,CHIOS,Elec_Transmission,2045,0.24
SAMOS,CHIOS,Elec_Transmission,2050,0.24
SAMOS,KOS,Elec_Transmission,2023,0
SAMOS,KOS,Elec_Transmission,2025,0
SAMOS,KOS,Elec_Transmission,2030,0
SAMOS,KOS,Elec_Transmission,2035,0.24
SAMOS,KOS,Elec_Transmission,2040,0.24
SAMOS,KOS,Elec_Transmission,2045,0.24
SAMOS,KOS,Elec_Transmission,2050,0.24
KOS,SAMOS,Elec_Transmission,2023,0
KOS,SAMOS,Elec_Transmission,2025,0
KOS,SAMOS,Elec_Transmission,2030,0
KOS,SAMOS,Elec_Transmission,2035,0.24
KOS,SAMOS,Elec_Transmission,2040,0.24
KOS,SAMOS,Elec_Transmission,2045,0.24
KOS,SAMOS,Elec_Transmission,2050,0.24
KOS,RODOS,Elec_Transmission,2023,0
KOS,RODOS,Elec_Transmission,2025,0
KOS,RODOS,Elec_Transmission,2030,0
KOS,RODOS,Elec_Transmission,2035,0.72
KOS,RODOS,Elec_Transmission,2040,0.72
KOS,RODOS,Elec_Transmission,2045,0.72
KOS,RODOS,Elec_Transmission,2050,0.72
RODOS,KOS,Elec_Transmission,2023,0
RODOS,KOS,Elec_Transmission,2025,0
RODOS,KOS,Elec_Transmission,2030,0
RODOS,KOS,Elec_Transmission,2035,0.72
RODOS,KOS,Elec_Transmission,2040,0.72
RODOS,KOS,Elec_Transmission,2045,0.72
RODOS,KOS,Elec_Transmission,2050,0.72
RODOS,KARPATHOS,Elec_Transmission,2023,0
RODOS,KARPATHOS,Elec_Transmission,2025,0
RODOS,KARPATHOS,Elec_Transmission,2030,0
RODOS,KARPATHOS,Elec_Transmission,2035,0.195
RODOS,KARPATHOS,Elec_Transmission,2040,0.195
RODOS,KARPATHOS,Elec_Transmission,2045,0.195
RODOS,KARPATHOS,Elec_Transmission,2050,0.195
KARPATHOS,RODOS,Elec_Transmission,2023,0
KARPATHOS,RODOS,Elec_Transmission,2025,0
KARPATHOS,RODOS,Elec_Transmission,2030,0
KARPATHOS,RODOS,Elec_Transmission,2035,0.195
KARPATHOS,RODOS,Elec_Transmission,2040,0.195
KARPATHOS,RODOS,Elec_Transmission,2045,0.195
KARPATHOS,RODOS,Elec_Transmission,2050,0.195
EL65,KOS,Elec_Transmission,2023,0
EL65,KOS,Elec_Transmission,2025,0
EL65,KOS,Elec_Transmission,2030,0
EL65,KOS,Elec_Transmission,2035,1
