REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
EL61,CCGT,CO2,1,2045,0.095153753
EL61,CCGT,CO2,1,2050,0.095153753
EL62,Biomass_CCS,CO2,1,2023,-0.2812
EL62,Biomass_CCS,CO2,1,2025,-0.2812
EL62,Biomass_CCS,CO2,1,2030,-0.2812
EL62,Biomass_CCS,CO2,1,2035,-0.2812
EL62,Biomass_CCS,CO2,1,2040,-0.2812
EL62,Biomass_CCS,CO2,1,2045,-0.2812
EL62,Biomass_CCS,CO2,1,2050,-0.2812
EL62,CCGT,CO2,1,2023,0.095153753
EL62,CCGT,CO2,1,2025,0.095153753
EL62,CCGT,CO2,1,2030,0.095153753
EL62,CCGT,CO2,1,2035,0.095153753
EL62,CCGT,CO2,1,2040,0.095153753
EL62,CCGT,CO2,1,2045,0.095153753
EL62,CCGT,CO2,1,2050,0.095153753
EL63,Biomass_CCS,CO2,1,2023,-0.2812
EL63,Biomass_CCS,CO2,1,2025,-0.2812
EL63,Biomass_CCS,CO2,1,2030,-0.2812
EL63,Biomass_CCS,CO2,1,2035,-0.2812
EL63,Biomass_CCS,CO2,1,2040,-0.2812
EL63,Biomass_CCS,CO2,1,2045,-0.2812
EL63,Biomass_CCS,CO2,1,2050,-0.2812
EL63,CCGT,CO2,1,2023,0.095153753
EL63,CCGT,CO2,1,2025,0.095153753
EL63,CCGT,CO2,1,2030,0.095153753
EL63,CCGT,CO2,1,2035,0.095153753
EL63,CCGT,CO2,1,2040,0.095153753
EL63,CCGT,CO2,1,2045,0.095153753
EL63,CCGT,CO2,1,2050,0.095153753
EL64,Biomass_CCS,CO2,1,2023,-0.2812
EL64,Biomass_CCS,CO2,1,2025,-0.2812
EL64,Biomass_CCS,CO2,1,2030,-0.2812
EL64,Biomass_CCS,CO2,1,2035,-0.2812
EL64,Biomass_CCS,CO2,1,2040,-0.2812
EL64,Biomass_CCS,CO2,1,2045,-0.2812
EL64,Biomass_CCS,CO2,1,2050,-0.2812
EL64,CCGT,CO2,1,2023,0.095153753
EL64,CCGT,CO2,1,2025,0.095153753
EL64,CCGT,CO2,1,2030,0.095153753
EL64,CCGT,CO2,1,2035,0.095153753
EL64,CCGT,CO2,1,2040,0.095153753
EL64,CCGT,CO2,1,2045,0.095153753
EL64,CCGT,CO2,1,2050,0.095153753
EL30,Biomass_CCS,CO2,1,2023,-0.2812
EL30,Biomass_CCS,CO2,1,2025,-0.2812
EL30,Biomass_CCS,CO2,1,2030,-0.2812
EL30,Biomass_CCS,CO2,1,2035,-0.2812
EL30,Biomass_CCS,CO2,1,2040,-0.2812
EL30,Biomass_CCS,CO2,1,2045,-0.2812
EL30,Biomass_CCS,CO2,1,2050,-0.2812
EL30,CCGT,CO2,1,2023,0.095153753
EL30,CCGT,CO2,1,2025,0.095153753
EL30,CCGT,CO2,1,2030,0.095153753
EL30,CCGT,CO2,1,2035,0.095153753
EL30,CCGT,CO2,1,2040,0.095153753
EL30,CCGT,CO2,1,2045,0.095153753
EL30,CCGT,CO2,1,2050,0.095153753
EL65,Biomass_CCS,CO2,1,2023,-0.2812
EL65,Biomass_CCS,CO2,1,2025,-0.2812
EL65,Biomass_CCS,CO2,1,2030,-0.2812
EL65,Biomass_CCS,CO2,1,2035,-0.2812
EL65,Biomass_CCS,CO2,1,2040,-0.2812
EL65,Biomass_CCS,CO2,1,2045,-0.2812
EL65,Biomass_CCS,CO2,1,2050,-0.2812
EL65,CCGT,CO2,1,2023,0.095153753
EL65,CCGT,CO2,1,2025,0.095153753
EL65,CCGT,CO2,1,2030,0.095153753
EL65,CCGT,CO2,1,2035,0.095153753
EL65,CCGT,CO2,1,2040,0.095153753
EL65,CCGT,CO2,1,2045,0.095153753
EL65,CCGT,CO2,1,2050,0.095153753
CHIOS,Chios,CO2,1,2023,0.15717536
CHIOS,Chios,CO2,1,2025,0.15717536
CHIOS,Chios,CO2,1,2030,0.15717536
CHIOS,Chios,CO2,1,2035,0.15717536
CHIOS,Chios,CO2,1,2040,0.15717536
CHIOS,Chios,CO2,1,2045,0.15717536
CHIOS,Chios,CO2,1,2050,0.15717536
EL64,ELPEDISON,CO2,1,2023,0.095153753
EL64,ELPEDISON,CO2,1,2025,0.095153753
EL64,ELPEDISON,CO2,1,2030,0.095153753
EL64,ELPEDISON,CO2,1,2035,0.095153753
EL64,ELPEDISON,CO2,1,2040,0.095153753
EL64,ELPEDISON,CO2,1,2045,0.095153753
EL64,ELPEDISON,CO2,1,2050,0.095153753
EL52,Energ_Thesalonikis,CO2,1,2023,0.095153753
EL52,Energ_Thesalonikis,CO2,1,2025,0.095153753
EL52,Energ_Thesalonikis,CO2,1,2030,0.095153753
EL52,Energ_Thesalonikis,CO2,1,2035,0.095153753
EL52,Energ_Thesalonikis,CO2,1,2040,0.095153753
EL52,Energ_Thesalonikis,CO2,1,2045,0.095153753
EL52,Energ_Thesalonikis,CO2,1,2050,0.095153753
EL51,Gas_CCS,CO2,1,2023,0.0102
EL51,Gas_CCS,CO2,1,2025,0.0102
EL51,Gas_CCS,CO2,1,2030,0.0102
EL51,Gas_CCS,CO2,1,2035,0.0102
EL51,Gas_CCS,CO2,1,2040,0.0102
EL51,Gas_CCS,CO2,1,2045,0.0102
EL51,Gas_CCS,CO2,1,2050,0.0102
EL51,Geothermal_HI,CO2,1,2023,0.138888885
EL51,Geothermal_HI,CO2,1,2025,0.138888885
EL51,Geothermal_HI,CO2,1,2030,0.138888885
EL51,Geothermal_HI,CO2,1,2035,0.138888885
EL51,Geothermal_HI,CO2,1,2040,0.138888885
EL51,Geothermal_HI,CO2,1,2045,0.138888885
EL51,Geothermal_HI,CO2,1,2050,0.138888885
EL51,Geothermal_ME,CO2,1,2023,0.138888885
EL51,Geothermal_ME,CO2,1,2025,0.138888885
EL51,Geothermal_ME,CO2,1,2030,0.138888885
EL51,Geothermal_ME,CO2,1,2035,0.138888885
EL51,Geothermal_ME,CO2,1,2040,0.138888885
EL51,Geothermal_ME,CO2,1,2045,0.138888885
EL51,Geothermal_ME,CO2,1,2050,0.138888885
EL52,Gas_CCS,CO2,1,2023,0.0102
EL52,Gas_CCS,CO2,1,2025,0.0102
EL52,Gas_CCS,CO2,1,2030,0.0102
EL52,Gas_CCS,CO2,1,2035,0.0102
EL52,Gas_CCS,CO2,1,2040,0.0102
EL52,Gas_CCS,CO2,1,2045,0.0102
EL52,Gas_CCS,CO2,1,2050,0.0102
EL52,Geothermal_HI,CO2,1,2023,0.138888885
EL52,Geothermal_HI,CO2,1,2025,0.138888885
EL52,Geothermal_HI,CO2,1,2030,0.138888885
EL52,Geothermal_HI,CO2,1,2035,0.138888885
EL52,Geothermal_HI,CO2,1,2040,0.138888885
EL52,Geothermal_HI,CO2,1,2045,0.138888885
EL52,Geothermal_HI,CO2,1,2050,0.138888885
EL52,Geothermal_ME,CO2,1,2023,0.138888885
EL52,Geothermal_ME,CO2,1,2025,0.138888885
EL52,Geothermal_ME,CO2,1,2030,0.138888885
EL52,Geothermal_ME,CO2,1,2035,0.138888885
EL52,Geothermal_ME,CO2,1,2040,0.138888885
EL52,Geothermal_ME,CO2,1,2045,0.138888885
EL52,Geothermal_ME,CO2,1,2050,0.138888885
EL53,Gas_CCS,CO2,1,2023,0.0102
EL53,Gas_CCS,CO2,1,2025,0.0102
EL53,Gas_CCS,CO2,1,2030,0.0102
EL53,Gas_CCS,CO2,1,2035,0.0102
EL53,Gas_CCS,CO2,1,2040,0.0102
EL53,Gas_CCS,CO2,1,2045,0.0102
EL53,Gas_CCS,CO2,1,2050,0.0102
EL53,Geothermal_HI,CO2,1,2023,0.138888885
EL53,Geothermal_HI,CO2,1,2025,0.138888885
EL53,Geothermal_HI,CO2,1,2030,0.138888885
EL53,Geothermal_HI,CO2,1,2035,0.138888885
EL53,Geothermal_HI,CO2,1,2040,0.138888885
EL53,Geothermal_HI,CO2,1,2045,0.138888885
EL53,Geothermal_HI,CO2,1,2050,0.138888885
EL53,Geothermal_ME,CO2,1,2023,0.138888885
EL53,Geothermal_ME,CO2,1,2025,0.138888885
EL53,Geothermal_ME,CO2,1,2030,0.138888885
EL53,Geothermal_ME,CO2,1,2035,0.138888885
EL53,Geothermal_ME,CO2,1,2040,0.138888885
EL53,Geothermal_ME,CO2,1,2045,0.138888885
EL53,Geothermal_ME,CO2,1,2050,0.138888885
EL54,Gas_CCS,CO2,1,2023,0.0102
EL54,Gas_CCS,CO2,1,2025,0.0102
EL54,Gas_CCS,CO2,1,2030,0.0102
EL54,Gas_CCS,CO2,1,2035,0.0102
EL54,Gas_CCS,CO2,1,2040,0.0102
EL54,Gas_CCS,CO2,1,2045,0.0102
EL54,Gas_CCS,CO2,1,2050,0.0102
EL54,Geothermal_HI,CO2,1,2023,0.138888885
EL54,Geothermal_HI,CO2,1,2025,0.138888885
EL54,Geothermal_HI,CO2,1,2030,0.138888885
EL54,Geothermal_HI,CO2,1,2035,0.138888885
